"";"short_name";"preferred_foot";"team_position";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_marking";"defending_standing_tackle";"defending_sliding_tackle";"goalkeeping_diving";"goalkeeping_handling";"goalkeeping_kicking";"goalkeeping_positioning";"goalkeeping_reflexes"
"4886";"Koke Vegas";"Right";"SUB";13;12;15;12;15;11;13;12;20;10;52;52;60;67;42;45;62;34;55;15;30;12;10;42;11;48;16;12;10;72;70;60;67;68
"4887";"T. Guidara";"Right";"RB";58;32;52;72;37;70;44;34;53;67;76;79;75;68;81;55;65;85;74;38;82;69;54;49;40;59;62;71;67;5;14;8;15;9
"4888";"J. Ebobisse";"Left";"SUB";55;67;68;67;52;68;56;42;61;68;83;84;77;65;67;67;78;75;77;57;65;31;72;63;54;60;23;25;22;7;7;12;6;14
"4889";"J. Yueill";"Right";"RDM";58;53;51;73;59;68;64;60;74;71;65;61;67;73;68;69;52;83;59;51;66;58;62;70;56;76;63;57;48;11;13;14;8;11
"4890";"C. Spinelli";"Right";"RS";51;74;68;64;62;68;47;34;52;73;69;65;73;63;53;69;74;63;74;59;31;17;72;57;52;66;28;17;19;13;9;13;7;13
"4891";"Olabe";"Left";"SUB";69;59;45;73;45;71;52;45;70;73;65;59;72;63;71;62;53;69;60;52;47;37;69;72;44;61;63;59;56;6;10;10;6;13
"4892";"K. Dabila";"Right";"LCB";33;25;65;68;32;51;38;31;48;58;53;54;42;61;64;48;69;63;69;27;69;70;27;32;41;62;69;75;74;12;7;15;15;7
"4893";"F. Manojlović";"Right";"RES";11;8;13;22;5;14;10;12;24;16;21;18;36;67;21;53;37;17;74;9;18;10;7;32;16;50;18;12;10;73;69;71;65;70
"4894";"Gabrielzinho";"Right";"LW";64;56;62;65;52;75;48;44;43;73;86;91;90;68;89;76;64;73;43;48;58;21;65;61;60;73;21;51;42;9;7;9;15;9
"4895";"N. Maraš";"Right";"SUB";31;38;70;62;28;49;24;28;47;56;66;68;65;64;56;48;75;72;73;29;71;66;28;46;32;68;72;68;74;10;9;12;11;14
"4896";"Vagner";"Right";"LS";61;66;49;63;63;71;61;65;53;70;92;85;83;66;86;67;58;72;47;65;37;24;66;64;64;59;21;34;27;10;9;15;9;11
"4897";"A. Gojak";"Right";"SUB";59;58;69;72;66;71;55;58;70;72;73;71;52;62;60;80;57;83;78;60;70;61;70;70;65;80;58;64;60;14;13;12;14;12
"4898";"B. Dia";"Right";"ST";36;71;66;62;61;71;48;42;41;68;69;74;65;61;63;70;66;57;77;62;53;22;70;46;64;54;28;17;14;11;10;15;14;10
"4899";"C. Oliva";"Right";"SUB";59;51;59;76;43;65;60;47;69;72;64;64;71;72;62;74;54;64;69;69;75;70;58;68;51;64;68;72;68;9;13;5;15;12
"4900";"Villalibre";"Left";"SUB";34;69;72;55;65;63;60;36;45;68;69;72;70;64;66;78;77;62;89;57;62;31;65;52;73;74;41;32;30;13;15;15;12;14
"4901";"Joel Pereira";"Right";"GK";10;12;11;36;7;11;9;11;20;20;43;43;34;65;44;51;54;34;56;11;22;20;14;55;12;54;13;11;9;69;72;68;67;72
"4902";"T. Martínez";"Left";"CAM";62;55;47;71;50;74;66;59;60;72;72;64;80;64;80;49;63;66;40;72;47;33;68;70;57;68;34;42;36;9;14;15;14;16
"4903";"C. Higuita";"Right";"SUB";59;51;58;71;63;64;62;59;65;67;73;73;73;63;70;69;65;87;73;58;85;64;52;59;54;63;66;68;67;14;8;9;15;9
"4904";"M. Bolados";"Right";"SUB";67;69;27;70;33;71;56;47;65;68;82;79;80;63;74;70;57;74;66;68;55;59;67;68;56;66;55;61;59;14;9;8;10;8
"4905";"A. Werner";"Right";"SUB";14;19;15;25;12;13;20;15;19;23;41;46;34;55;43;56;58;38;75;18;24;27;16;50;23;52;15;13;17;74;72;75;68;70
"4906";"L. Henderson";"Right";"SUB";60;56;47;74;48;66;67;63;73;73;55;67;71;63;75;68;59;90;72;62;72;53;62;64;50;73;51;60;52;13;14;12;10;16
"4907";"Iván Rodríguez";"Right";"SUB";66;46;52;65;38;65;59;26;59;68;75;76;69;64;70;63;65;72;56;58;61;67;54;49;33;54;66;70;73;11;15;9;7;6
"4908";"R. Aarons";"Left";"SUB";72;62;51;70;55;77;69;46;62;74;77;78;76;60;76;70;47;56;46;55;33;36;60;58;59;62;39;38;34;15;6;10;10;7
"4909";"M. Rodák";"Right";"SUB";15;20;15;28;19;15;13;17;17;21;51;41;43;65;46;54;56;27;68;15;21;21;17;28;23;51;8;17;16;72;69;72;67;71
"4910";"K. Diks";"Right";"SUB";62;23;62;67;36;66;42;30;61;70;75;69;72;65;67;58;75;76;71;57;77;74;54;31;42;62;70;70;70;7;15;9;10;15
"4911";"C. Roberts";"Right";"RB";68;35;53;71;20;66;38;18;58;64;72;67;71;66;70;43;61;83;62;36;58;69;61;58;41;50;68;72;67;6;12;8;12;13
"4912";"I. Jeraldino";"Right";"RS";38;72;71;54;52;64;51;48;40;69;70;68;57;71;60;71;83;65;74;59;36;18;73;49;70;64;32;17;17;10;11;6;9;12
"4913";"F. Platte";"Right";"SUB";38;70;72;59;66;64;64;33;42;68;65;67;55;65;58;71;69;58;86;61;64;22;70;54;55;59;18;21;17;11;13;14;14;15
"4914";"N. Tripichio";"Right";"RM";63;45;67;71;41;70;51;45;61;67;84;83;79;63;85;57;73;84;65;41;59;71;57;55;49;53;57;63;67;15;14;13;9;7
"4915";"K. N'Doram";"Right";"SUB";49;28;69;70;35;59;50;29;66;68;58;54;55;68;59;47;75;68;74;23;68;67;50;57;40;64;69;75;70;11;12;14;9;12
"4916";"L. Klünter";"Right";"RB";65;60;62;66;25;66;38;29;55;68;86;88;71;66;65;49;60;72;63;25;60;67;44;43;49;59;66;69;65;10;5;12;14;6
"4917";"F. Kamberi";"Right";"ST";59;68;72;68;64;70;62;42;55;66;74;79;68;62;68;77;73;74;82;56;74;21;65;64;73;58;40;38;22;13;6;10;11;11
"4918";"M. Verrips";"Right";"RES";11;6;10;25;8;13;12;11;25;14;17;16;23;64;21;53;32;17;67;6;23;7;7;28;16;28;15;14;14;71;68;71;66;72
"4919";"R. Del Castillo";"Left";"SUB";67;65;44;69;69;75;73;66;64;74;75;74;87;63;83;70;69;69;54;67;69;30;63;63;61;67;30;42;43;7;10;9;13;12
"4920";"A. Castro-Montes";"Right";"SUB";74;58;57;71;51;67;54;57;68;70;73;72;73;69;78;75;75;80;56;63;62;66;64;70;42;68;62;68;68;8;13;15;11;9
"4921";"S. Campo";"Left";"SUB";70;56;38;75;65;70;77;75;70;73;73;74;71;63;82;67;36;69;61;61;42;25;64;71;48;57;68;30;33;13;14;13;7;14
"4922";"C. Rodríguez";"Right";"RDM";60;58;50;77;50;71;53;59;72;74;77;77;78;66;76;64;64;72;72;58;31;55;61;70;62;59;45;62;36;12;15;11;8;10
"4923";"P. Cuadra";"Left";"RS";40;67;63;63;54;78;53;45;60;71;92;91;86;62;91;71;67;63;70;60;32;18;63;68;66;62;22;21;16;15;10;14;13;5
"4924";"A. Guðmundsson";"Right";"SUB";61;66;49;69;62;78;65;62;65;75;77;75;72;66;72;67;52;68;68;60;53;29;61;73;65;70;25;39;43;5;10;7;6;6
"4925";"Gorosabel";"Right";"SUB";68;38;66;70;39;53;58;33;58;68;61;66;62;74;69;46;56;59;55;41;59;73;45;35;38;54;68;71;70;8;6;10;10;15
"4926";"M. Dräger";"Right";"RB";65;57;62;63;58;67;52;48;54;68;86;86;80;70;76;62;49;69;56;63;70;66;59;56;63;54;63;67;66;12;9;8;9;10
"4927";"J. Igbekeme";"Left";"LDM";67;54;49;70;59;67;58;70;68;70;76;71;80;71;89;67;63;87;83;50;65;73;66;69;64;74;68;69;54;14;6;10;14;13
"4928";"C. Donis";"Right";"LDM";64;60;54;73;60;66;60;60;71;72;70;71;66;68;59;70;71;77;68;66;70;60;66;63;53;67;61;63;62;6;14;9;10;7
"4929";"A. Mabil";"Right";"SUB";68;60;33;62;48;73;62;60;47;70;92;92;85;64;73;65;57;69;46;44;35;25;68;61;53;62;37;33;20;16;12;18;13;12
"4930";"A. Mowatt";"Left";"RDM";71;62;52;73;62;67;77;76;72;71;51;53;68;64;76;74;66;77;66;75;65;61;63;71;60;70;61;61;60;10;14;8;16;15
"4931";"M. Ingvartsen";"Left";"SUB";59;71;68;59;70;64;51;45;52;68;67;69;67;67;73;67;67;67;75;63;40;24;74;52;63;66;32;30;24;12;13;10;14;7
"4932";"Tomás Podstawski";"Right";"CDM";45;48;66;72;46;64;45;51;71;68;57;63;65;65;68;71;78;76;74;49;69;67;55;56;57;71;66;72;66;8;12;8;10;12
"4933";"M. Helik";"Right";"SUB";41;56;73;63;49;47;29;40;51;50;68;69;52;68;59;52;88;69;74;41;68;69;60;34;32;55;67;70;64;14;10;9;12;7
"4934";"C. Aboagye";"Right";"SUB";67;51;42;77;54;74;69;62;74;77;84;86;85;69;89;68;47;69;55;66;52;53;60;70;68;64;40;39;48;8;10;13;7;7
"4935";"B. Sanneh";"Right";"SUB";36;43;75;59;43;52;27;29;50;63;71;73;68;58;64;54;78;68;73;33;72;66;54;43;31;71;68;70;66;6;8;14;16;15
"4936";"M. Bălașa";"Right";"SUB";74;25;64;62;29;48;25;73;65;66;56;72;45;63;54;38;81;80;79;27;75;66;29;49;25;59;70;71;66;11;7;9;9;14
"4937";"R. Echeverría";"Right";"RCB";52;44;66;67;36;61;45;40;69;66;64;68;61;65;67;67;64;75;77;59;76;67;55;60;44;53;70;70;67;10;14;8;12;8
"4938";"R. Burke";"Right";"RCB";47;27;63;62;30;58;32;23;54;53;65;71;59;67;48;54;69;65;72;40;68;69;30;38;40;60;72;71;71;12;9;7;11;8
"4939";"D. Avdijaj";"Right";"SUB";66;70;44;66;70;75;68;56;60;73;77;72;83;65;79;76;62;63;47;75;68;26;67;70;60;71;19;23;19;14;13;9;9;8
"4940";"M. Thorsby";"Right";"RES";62;58;84;70;51;64;51;48;68;65;63;65;66;72;68;65;82;92;73;58;78;70;72;64;49;70;65;71;62;13;14;10;7;13
"4941";"O. Çağlayan";"Right";"SUB";64;60;64;69;62;76;65;64;63;74;79;78;79;65;70;67;64;67;71;61;53;23;63;64;62;55;23;24;22;7;9;16;16;6
"4942";"Sergi Canós";"Right";"RW";67;68;51;64;56;73;54;55;53;69;74;70;78;67;84;70;52;56;65;68;75;56;69;71;55;62;45;55;50;7;8;15;15;15
"4943";"A. Lusamba";"Right";"SUB";67;64;56;69;38;77;62;40;63;76;74;65;76;67;74;56;71;66;57;57;56;67;71;68;44;64;61;68;63;9;8;14;6;12
"4944";"S. Cosgrove";"Right";"ST";31;72;78;58;55;60;42;38;54;63;61;68;62;66;61;75;88;68;89;63;85;14;70;53;74;67;21;30;29;8;15;15;15;10
"4945";"Z. Machach";"Right";"RES";70;63;59;72;62;73;64;58;71;73;75;69;68;61;68;66;64;73;70;63;77;49;63;71;57;68;20;52;57;13;8;11;11;9
"4946";"O. Linnér";"Right";"GK";18;17;18;20;11;18;19;12;21;25;34;36;31;58;22;50;58;43;69;16;23;19;13;50;32;50;13;14;11;69;69;67;72;70
"4947";"J. Báez";"Right";"RW";70;65;64;69;57;75;64;69;62;70;74;74;75;69;73;69;73;67;52;64;42;12;65;60;68;57;45;22;22;7;11;7;9;11
"4948";"E. Rolón";"Right";"SUB";54;42;58;74;57;60;47;55;72;74;68;63;66;67;68;70;69;65;62;59;72;68;55;66;53;68;67;67;69;15;8;15;10;11
"4949";"B. Garnica";"Right";"SUB";69;68;40;70;52;70;50;40;62;69;79;80;86;61;84;71;53;76;57;58;40;32;63;59;50;66;33;31;30;7;11;14;15;7
"4950";"José Arnáiz";"Right";"SUB";64;68;67;66;62;71;58;47;62;69;81;80;84;67;76;82;40;65;62;68;40;29;67;63;67;67;56;27;28;13;15;9;14;13
"4951";"S. Mosquera";"Right";"LM";66;60;55;70;57;73;58;46;59;70;80;79;78;63;71;66;66;74;65;67;59;16;64;65;59;52;32;18;23;15;8;10;7;6
"4952";"R. Bormuth";"Right";"SUB";20;21;67;43;22;39;60;28;51;56;65;78;54;67;61;37;82;60;84;22;64;67;28;39;31;62;70;71;66;15;10;14;8;5
"4953";"Luis Pérez";"Right";"RB";61;42;55;60;29;67;53;45;46;65;90;92;84;63;77;51;80;86;65;45;64;68;48;53;44;65;62;65;69;9;10;6;7;13
"4954";"S. Peña";"Right";"SUB";67;60;57;71;66;70;70;71;69;72;67;64;67;67;75;75;44;69;63;71;45;60;64;74;69;68;55;53;48;5;12;13;10;6
"4955";"D. Giannoulis";"Left";"LB";69;42;62;63;44;67;56;40;65;65;75;79;70;67;73;68;61;76;56;38;66;67;61;56;47;60;67;68;68;14;5;13;9;12
"4956";"F. Diabaté";"Left";"RES";63;68;62;64;65;76;43;38;58;73;79;77;88;66;77;68;51;64;50;62;33;20;69;62;59;57;20;17;14;9;12;7;12;7
"4957";"K. Zachariassen";"Right";"LCM";59;64;64;69;61;68;57;51;65;69;78;79;74;69;68;69;74;93;67;63;74;67;68;67;59;59;69;67;64;10;14;11;10;12
"4958";"D. Batubinsika";"Right";"LCB";35;21;67;62;20;50;22;28;59;59;64;70;51;59;57;50;61;66;87;23;71;65;24;54;31;61;65;71;71;15;14;8;13;10
"4959";"E. Koljić";"Right";"RES";31;74;75;64;68;55;54;62;52;56;64;53;63;64;38;77;83;78;85;64;64;14;74;46;73;60;21;14;15;8;8;13;13;11
"4960";"K. Anzai";"Right";"RB";70;58;47;64;41;68;69;57;68;68;92;90;69;64;78;58;73;82;43;51;56;60;53;57;48;59;69;65;62;7;8;14;12;10
"4961";"Catena";"Right";"RCB";39;24;71;60;29;35;42;31;44;61;64;63;53;64;55;50;72;74;71;32;68;67;33;44;44;50;68;74;69;9;9;14;8;11
"4962";"A. Parmak";"Right";"SUB";66;63;62;69;68;71;68;63;67;70;74;77;78;69;75;70;45;74;64;70;61;71;64;69;67;67;64;71;67;10;8;6;9;11
"4963";"F. Durmishaj";"Right";"SUB";42;73;72;58;66;55;55;45;55;65;72;76;65;61;58;77;72;73;73;74;72;28;72;52;65;60;30;14;15;7;14;7;13;10
"4964";"J. Robinson";"Left";"LB";61;40;64;65;32;58;60;40;59;64;74;70;75;66;76;43;83;69;59;38;75;67;49;57;43;59;72;73;74;14;14;13;10;6
"4965";"S. McDermott";"Right";"GK";15;10;14;28;8;14;13;18;40;15;44;45;57;69;42;43;67;18;62;9;37;17;11;45;17;49;11;14;14;70;67;57;68;73
"4966";"Bernardo";"Right";"SUB";26;36;76;69;18;31;41;37;57;59;30;35;56;59;32;56;74;57;90;37;74;66;33;42;32;61;67;67;61;7;15;10;7;9
"4967";"K. Günter";"Right";"RCB";32;23;69;69;28;56;21;26;72;61;53;64;61;66;60;50;75;61;73;31;69;68;31;59;37;60;69;70;68;13;10;10;9;10
"4968";"Adrián Ortolá";"Left";"GK";19;14;16;21;10;18;30;18;22;23;49;52;54;63;62;56;72;43;54;17;20;19;12;62;29;56;20;13;16;70;68;74;70;71
"4969";"J. Dudziak";"Left";"RCM";71;53;48;70;58;73;70;62;58;73;84;79;84;67;82;64;79;76;57;52;70;65;62;63;59;67;65;68;66;13;12;6;7;13
"4970";"A. Linde";"Right";"RES";16;13;12;22;12;20;13;12;18;18;48;49;30;60;32;50;60;25;70;19;18;22;15;54;23;55;18;14;11;73;66;66;67;74
"4971";"Sergi Samper";"Right";"LCM";55;35;48;75;48;63;52;44;68;71;53;36;61;67;70;51;59;69;69;46;55;70;53;76;48;75;73;66;60;12;10;13;11;6
"4972";"M. Müller";"Right";"GK";11;10;12;22;9;10;11;13;16;20;25;38;34;67;38;49;66;35;77;12;27;14;11;48;18;26;20;13;11;69;68;65;66;73
"4973";"B. O'Neill";"Right";"LDM";68;54;61;71;55;65;79;74;68;67;65;65;76;66;83;65;87;91;72;65;68;65;63;69;64;67;63;67;65;15;11;7;12;7
"4974";"J. Busk";"Right";"RES";11;10;10;24;18;15;12;12;22;15;45;42;30;68;56;50;56;33;64;14;20;29;12;58;12;26;14;12;14;73;62;67;66;75
"4975";"L. Đorđević";"Right";"SUB";60;73;73;65;59;71;58;66;57;70;77;79;75;67;58;60;62;66;68;68;33;18;65;62;69;60;45;21;17;13;13;13;15;8
"4976";"L. García";"Right";"SUB";17;19;20;31;12;19;15;20;24;23;46;49;32;60;55;50;75;40;71;17;24;30;18;62;23;49;14;12;17;71;71;67;70;70
"4977";"Pol García";"Left";"LCB";64;22;69;65;27;59;41;61;67;64;61;63;59;65;68;49;75;53;68;37;71;70;22;62;52;66;68;70;71;7;6;7;7;6
"4978";"M. Caillard";"Right";"GK";13;9;13;32;8;11;15;7;27;24;48;39;34;68;45;44;54;33;80;13;25;15;7;14;18;53;8;15;9;74;67;58;70;70
"4979";"Borja López";"Left";"LCB";34;22;63;64;28;33;32;25;56;58;52;42;43;59;44;46;60;63;85;31;72;69;47;44;45;57;67;75;70;15;15;12;14;11
"4980";"M. Caballero";"Left";"RS";59;71;75;60;61;64;51;40;47;63;76;69;70;69;72;69;92;52;79;56;36;21;72;57;70;58;23;21;18;14;16;10;9;9
"4981";"H. Aiesh";"Right";"SUB";64;53;34;62;49;79;53;41;45;70;94;85;86;63;81;63;68;76;69;50;76;48;60;67;42;61;52;38;32;13;8;13;9;9
"4982";"E. Sobol";"Left";"LB";74;39;37;71;35;60;58;65;69;66;72;77;68;68;60;74;56;69;68;42;48;74;54;63;34;64;70;67;66;11;11;9;13;10
"4983";"D. Rojas";"Left";"RM";65;61;40;71;58;73;63;67;67;71;68;67;90;60;93;68;30;63;56;66;44;54;67;72;52;58;31;35;20;13;12;16;11;7
"4984";"J. Pi";"Right";"CM";51;52;58;73;48;66;56;55;70;66;63;68;74;70;72;74;54;80;70;70;67;69;56;68;57;62;65;65;62;6;13;13;12;11
"4985";"A. Boljević";"Right";"SUB";75;60;27;68;53;73;56;57;72;70;79;77;78;66;70;63;78;75;63;60;47;37;68;67;59;68;35;23;22;7;13;10;6;15
"4986";"Unai García";"Left";"SUB";54;39;69;70;27;45;26;47;62;65;61;69;54;60;61;57;87;85;75;31;67;66;39;51;42;63;62;72;70;13;16;11;14;12
"4987";"A. Hjulsager";"Right";"LCM";61;69;39;71;59;74;67;55;68;70;77;74;74;66;72;58;78;70;73;65;62;61;71;71;53;69;65;58;49;9;15;14;9;9
"4988";"A. Zapata";"Left";"LAM";64;67;36;67;52;70;64;61;62;71;81;71;78;66;71;65;68;76;60;66;50;22;64;65;58;62;25;37;43;10;14;12;6;7
"4989";"B. Meling";"Left";"LB";68;47;42;64;30;63;62;55;60;65;79;78;82;64;80;46;79;87;35;49;80;67;65;66;39;69;70;70;68;8;10;15;12;6
"4990";"D. Cavaré";"Right";"SUB";66;51;67;65;30;67;60;37;62;66;71;74;67;66;65;66;68;79;88;53;76;68;62;61;49;64;68;69;69;15;9;8;9;9
"4991";"U. Đurđević";"Right";"SUB";40;71;62;60;73;66;58;49;52;67;75;74;73;67;69;74;66;71;76;65;77;36;72;58;61;68;32;19;18;11;8;10;13;7
"4992";"Lee Chang Min";"Right";"CAM";52;56;59;73;48;61;39;48;70;65;66;66;67;68;74;74;71;83;62;73;69;58;70;73;47;66;63;55;46;15;13;16;6;14
"4993";"J. Fulton";"Right";"RDM";54;52;68;73;45;63;49;33;69;72;67;64;69;57;67;67;56;69;75;50;75;66;57;64;51;67;66;71;73;11;11;8;11;7
"4994";"D. Rotariu";"Left";"";66;67;70;66;63;74;71;60;61;71;76;75;88;65;79;69;65;58;59;66;35;30;66;63;56;64;22;29;27;13;8;10;14;9
"4995";"E. Taşdemir";"Left";"RES";67;57;54;64;60;74;75;65;65;72;86;85;74;66;83;68;73;66;50;55;63;70;64;59;50;66;63;71;68;7;10;8;7;11
"4996";"Y. Bodiger";"Left";"SUB";66;52;62;70;44;63;69;68;68;68;55;52;52;71;54;67;67;65;72;59;71;69;58;68;68;66;67;68;66;14;12;9;13;16
"4997";"A. Micai";"Right";"GK";20;17;13;26;19;17;17;19;27;19;48;46;36;70;57;48;56;17;57;15;16;18;12;35;24;55;17;18;17;67;70;64;64;74
"4998";"I. Provedel";"Right";"SUB";21;17;17;29;14;16;13;13;23;18;44;40;38;64;44;46;56;28;56;20;27;22;16;48;22;58;22;22;21;71;67;61;69;73
"4999";"N. Haas";"Right";"LCM";64;52;59;75;50;69;60;57;70;71;75;79;84;69;82;67;67;76;62;61;66;61;59;71;55;66;64;63;62;10;15;7;6;9
"5000";"T. Valls";"Left";"RCM";59;58;54;72;52;68;52;49;66;70;66;64;65;70;65;62;65;66;67;66;59;68;59;72;50;71;62;70;64;9;9;8;16;13
"5001";"M. Araujo";"Right";"";41;30;73;61;37;46;23;41;59;62;65;66;60;54;68;52;70;66;61;32;76;66;22;27;51;65;70;75;72;13;15;9;16;8
"5002";"F. Salazar";"Right";"RM";69;62;51;65;65;65;67;67;64;68;87;78;88;67;70;64;62;89;70;72;60;31;69;59;64;64;50;34;50;11;13;12;9;16
"5003";"Jeong Seung Hyun";"Right";"LCB";32;19;75;54;24;32;52;47;44;37;34;37;32;64;32;36;79;67;93;17;69;70;28;48;35;63;65;71;70;15;13;14;7;15
"5004";"Jorge Pombo";"Right";"SUB";66;68;61;69;64;72;66;69;67;70;69;69;65;64;82;75;66;81;84;70;76;52;70;71;67;74;58;58;57;12;13;8;8;10
"5005";"G. Hendrickx";"Right";"SUB";67;52;56;71;66;61;65;63;70;66;68;62;75;68;78;62;70;90;54;67;70;72;63;70;48;66;64;68;66;11;12;12;8;14
"5006";"D. Zhivoglyadov";"Right";"SUB";69;48;59;63;31;68;70;52;52;68;77;75;73;65;72;69;56;69;66;51;65;72;53;58;31;63;70;68;70;7;14;11;9;14
"5007";"M. Pittón";"Right";"SUB";58;60;65;70;58;68;65;68;65;71;67;69;66;69;73;63;56;87;66;65;62;74;66;63;49;58;68;70;68;16;14;13;9;15
"5008";"M. Lemos";"Right";"SUB";50;51;68;67;30;68;32;70;71;70;60;65;67;65;61;69;81;62;73;57;70;69;43;51;41;68;70;69;67;10;6;7;15;13
"5009";"Francisco Ramos";"Right";"RCM";68;47;61;72;52;72;70;64;70;73;61;66;59;70;64;73;52;70;67;68;65;65;67;68;58;65;59;62;61;9;15;6;7;8
"5010";"Fali";"Right";"SUB";63;55;64;67;33;56;58;67;71;66;57;60;54;54;70;72;72;82;90;70;90;65;42;58;47;59;66;66;65;8;6;6;15;6
"5011";"C. Dell'Orco";"Left";"SUB";67;42;69;67;44;67;63;44;59;69;60;66;63;70;65;60;70;68;65;42;65;68;58;41;44;67;71;70;69;5;12;5;7;12
"5012";"P. Erras";"Right";"SUB";44;40;57;73;18;38;24;32;66;62;33;37;31;72;29;49;34;67;81;47;63;69;43;67;31;75;72;72;59;13;9;11;8;12
"5013";"Javi Galán";"Left";"SUB";71;50;68;75;49;67;68;66;68;70;80;78;80;72;78;61;65;76;61;53;54;67;58;56;48;67;60;62;64;14;14;10;6;8
"5014";"R. Matarrita";"Left";"LB";65;38;59;67;32;70;60;54;63;69;82;79;75;64;75;70;75;75;63;52;71;66;64;67;59;59;66;72;68;15;7;8;8;6
"5015";"D. Chatziisaias";"Right";"RCB";34;30;67;55;33;39;38;33;52;58;57;59;48;60;46;66;77;69;75;44;78;66;36;35;40;60;68;74;70;14;11;9;11;7
"5016";"P. Szymiński";"Right";"SUB";53;31;68;58;28;57;35;30;53;58;69;71;65;66;69;52;70;72;70;45;70;69;47;51;39;68;74;72;68;14;12;6;14;13
"5017";"Alfonso Herrero";"Right";"GK";18;11;12;35;12;13;22;13;40;20;47;52;51;69;69;51;72;32;70;10;23;22;12;51;20;56;13;10;15;69;70;68;66;73
"5018";"A. Beghetto";"Left";"LB";76;41;50;67;42;69;68;67;66;70;76;78;73;68;76;63;63;82;55;46;56;60;70;56;58;60;61;59;60;8;7;8;6;13
"5019";"Rafa Navarro";"Right";"SUB";71;34;69;70;36;61;52;49;42;70;77;75;77;62;81;67;79;66;30;41;61;63;56;51;48;64;61;71;72;8;9;13;8;13
"5020";"Reinildo";"Left";"SUB";69;55;56;66;50;71;67;32;43;68;76;75;68;74;71;49;72;67;70;46;64;67;67;55;40;53;69;69;67;6;8;13;15;7
"5021";"N. Ibáñez";"Right";"RS";39;70;70;61;64;63;58;41;58;64;73;74;70;67;72;71;77;73;71;63;55;18;72;58;59;63;45;22;21;11;6;12;13;13
"5022";"J. Elliott";"Right";"RCB";21;21;68;63;24;44;25;21;67;58;49;52;33;67;35;34;71;74;75;18;75;67;21;33;34;68;72;71;68;8;10;15;7;6
"5023";"Lucas Possignolo";"Right";"RES";29;22;68;65;31;44;28;25;45;52;49;56;57;68;55;36;91;68;72;20;74;67;20;31;35;58;68;73;67;12;14;8;14;5
"5024";"M. Ullmann";"Left";"LM";71;54;63;69;47;67;59;49;59;70;83;83;69;70;74;70;69;86;61;58;71;67;59;59;74;65;63;67;65;9;14;7;8;10
"5025";"E. Kılınç";"Left";"LM";69;68;36;71;40;73;58;50;60;73;79;77;78;69;64;64;43;72;49;66;37;32;55;58;52;51;36;31;36;15;6;11;14;14
"5026";"Y. Njie";"Right";"ST";54;68;66;60;57;66;65;36;38;69;75;76;65;69;59;73;60;74;73;61;58;39;69;60;60;74;44;33;29;9;11;5;7;9
"5027";"J. Moreno";"Right";"LCM";65;53;62;75;48;61;73;65;69;66;60;68;54;70;72;66;64;72;72;59;74;71;53;62;61;71;70;65;59;6;10;6;7;11
"5028";"E. Bello";"Right";"RM";65;59;36;70;54;70;62;62;64;69;82;85;76;54;69;61;44;75;49;66;44;22;62;69;55;69;40;37;43;7;7;13;11;7
"5029";"D. Pineda";"Left";"SUB";65;61;42;65;59;77;64;34;60;74;75;74;75;69;74;72;52;71;47;69;29;15;67;65;56;71;32;29;35;12;8;8;6;9
"5030";"A. Păun";"Right";"SUB";64;57;36;69;56;76;73;65;39;72;87;81;78;66;82;73;69;68;65;61;56;22;57;69;49;65;37;29;27;8;6;7;9;10
"5031";"D. Perić";"Left";"SUB";21;40;71;60;25;63;21;21;39;60;61;76;38;60;37;40;84;60;82;23;77;64;42;30;32;58;63;70;72;14;9;12;11;7
"5032";"S. Herreyra";"Right";"";34;21;69;53;24;38;32;25;42;45;53;61;39;68;42;42;53;62;89;37;81;64;27;34;36;43;75;70;61;15;8;10;12;15
"5033";"D. Dąbrowski";"Right";"SUB";59;49;58;70;51;62;53;55;68;69;76;61;73;71;70;70;86;67;61;62;65;74;61;67;51;70;63;71;65;6;6;6;16;9
"5034";"A. Davies";"Right";"RES";12;11;16;25;13;12;16;18;13;16;40;40;39;70;40;50;46;29;47;15;31;15;8;40;23;47;18;16;13;70;68;67;69;71
"5035";"S. Kitsiou";"Right";"SUB";72;48;58;69;47;67;56;40;68;69;76;75;71;68;78;75;74;73;62;71;70;68;64;63;41;62;67;67;68;9;9;9;15;14
"5036";"Ademilson";"Right";"SUB";50;69;63;64;60;69;63;49;48;69;90;92;87;65;63;70;90;79;73;66;57;29;66;60;72;65;24;31;22;13;11;6;14;8
"5037";"R. Murawski";"Right";"LDM";63;47;61;74;48;68;60;61;68;72;84;77;83;65;81;64;87;94;66;59;81;66;51;70;47;67;66;68;67;9;9;16;14;6
"5038";"B. McKay";"Right";"SUB";65;64;37;67;47;71;63;65;62;68;89;85;91;64;87;60;58;63;30;69;38;49;64;68;50;55;33;36;39;10;9;13;14;12
